layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
2,3.175198257558352,0.2,0.0,24,1,1,0,5,canada has ten provinces,canada has ten provinces,"[0.000031,cancel],[3.384766,c],[4.899841,a],[8.665741,n],[10.130371,a],[15.468750,d],[16.666718,a],[19.444092, ],[23.799591,h],[26.109222,a],[28.867310,s],[30.800171, ],[33.881226,t],[35.413269,e],[38.378815,n],[40.050385, ],[44.475006,cancel],[47.614105,h],[49.938263,cancel],[51.811188,del],[55.122986,p],[59.349487,cancel],[61.319366,r],[64.675446,o],[69.356110,v],[72.530823,i],[74.880035,n],[78.180145,cancel],[81.636444,c],[84.178589,e],[86.923706,s],[89.939606,done]"
2,2.9673492251788405,0.2702702702702703,0.0,27,1,1,0,9,do you prefer a window seat,do you prefer a window seat,"[0.000031,d],[2.832001,o],[4.724030, ],[8.037323,y],[10.220703,o],[13.458923,u],[14.939758, ],[19.027222,cancel],[23.094055,cancel],[26.508789,p],[29.631104,cancel],[33.454559,r],[34.977905,e],[39.049591,f],[40.513336,e],[44.810638,r],[46.498291, ],[47.928619,a],[50.627106,cancel],[52.109283, ],[55.625488,cancel],[60.416046,w],[63.004303,i],[66.056213,cancel],[69.233124,n],[70.979492,a],[72.305267,cancel],[73.857208,del],[76.483856,cancel],[82.032928,d],[87.039612,cancel],[90.309326,o],[94.434570,w],[96.435883, ],[100.006622,s],[101.893402,e],[103.059448,a],[105.144348,t],[107.554779,done]"
2,3.5699309997337543,0.20930232558139536,0.0,34,0,0,0,9,that sticker needs to be validated,that sticker needs to be validated,"[0.000061,cancel],[1.127441,t],[4.855621,h],[6.245819,a],[7.668488,t],[10.215393,cancel],[12.281647, ],[15.181488,s],[19.323761,cancel],[20.142273,t],[22.268951,i],[26.845215,c],[32.224396,k],[34.777985,cancel],[35.949860,e],[41.570679,cancel],[43.898315,r],[45.551117,cancel],[46.675873, ],[51.524445,n],[53.054413,e],[54.172424,e],[59.487793,d],[62.200958,s],[63.657593, ],[67.155640,t],[69.172302,cancel],[73.299439,o],[74.571777, ],[80.755920,b],[82.119995,e],[83.769562, ],[87.880158,v],[89.618347,cancel],[91.604309,a],[95.059296,l],[96.786926,cancel],[98.562164,i],[101.212738,d],[103.466705,a],[105.385101,t],[107.633087,e],[110.926514,d],[113.630768,done]"
2,3.8242636169462663,0.22727272727272727,0.045454545454545456,32,1,1,2,9,universally understood to be wrong,universally understand to be wrong,"[0.000031,u],[3.885742,n],[6.003967,i],[10.609406,v],[13.523102,cancel],[14.543488,e],[17.465759,r],[19.903931,s],[21.009949,a],[23.169952,l],[24.691681,cancel],[26.690033,l],[30.110962,y],[32.492767, ],[36.410461,u],[39.739899,n],[42.678802,d],[44.550873,cancel],[45.672150,e],[49.296661,cancel],[50.800568,r],[52.898468,s],[55.046448,t],[56.391754,a],[58.603485,n],[60.893494,d],[62.434784, ],[64.031097,t],[65.690613,o],[67.053192, ],[70.826050,cancel],[73.176910,b],[75.265625,e],[76.599548, ],[78.525299,cancel],[79.867645,cancel],[82.448303,cancel],[83.682770,cancel],[86.527252,w],[89.611084,r],[92.361664,o],[95.251282,n],[97.841400,d],[100.934723,del],[103.549347,g],[105.594482,done]"
2,3.6367993250967925,0.13333333333333333,0.022222222222222223,38,1,1,1,5,handicapped persons need consideration,handicapped persons need consideration ,"[0.000031,h],[1.418640,a],[4.391693,n],[9.798706,d],[12.135895,i],[16.735870,c],[18.162842,a],[22.552063,p],[25.778748,p],[28.374420,e],[31.118988,d],[32.492767, ],[36.987274,p],[39.432373,e],[41.819885,cancel],[44.077301,r],[46.706390,s],[49.915894,o],[54.846558,n],[56.806915,cancel],[58.747620,s],[59.997040, ],[62.892273,n],[64.359741,e],[65.452209,e],[68.376678,d],[69.503632, ],[73.324463,r],[75.756042,del],[77.201477,cancel],[80.791779,c],[83.363770,o],[86.111328,n],[89.223114,s],[91.445679,i],[94.702850,d],[96.464325,e],[99.550598,r],[102.288208,cancel],[104.934906,a],[108.635956,t],[110.732239,i],[113.332825,o],[115.349426,cancel],[117.293213,n],[125.384977, ],[130.441559,done]"
2,3.476595091307487,0.20512820512820512,0.0,31,2,2,0,6,a glance in the right direction,a glance in the right direction,"[0.000031,a],[6.110962,cancel],[7.859680, ],[10.682831,g],[15.541779,l],[17.194977,a],[18.898163,cancel],[21.005463,n],[24.447968,r],[26.515198,del],[28.234833,cancel],[30.693878,c],[31.806244,e],[33.132446, ],[36.574921,i],[39.131775,n],[40.399933, ],[43.871460,t],[47.068298,h],[48.280212,e],[49.917053, ],[52.927917,cancel],[54.730011,r],[56.792511,i],[61.182526,g],[65.203430,h],[67.718079,t],[69.306885, ],[72.086884,d],[74.927063,i],[78.363617,r],[80.697327,e],[83.092621,r],[84.914185,del],[87.610504,c],[90.884369,t],[93.116974,i],[95.714844,o],[99.228943,cancel],[100.775574,n],[103.549591,cancel],[106.028717,done]"
2,3.255317083424321,0.35,0.0,26,2,2,0,12,gas bills are sent monthly,gas bills are sent monthly,"[0.000031, ],[2.407348,del],[7.109100,g],[8.089142,a],[10.472595,s],[11.713440, ],[15.441925,cancel],[17.446472,b],[19.840881,i],[21.752502,l],[23.234375,cancel],[24.830292,l],[26.931061,cancel],[28.116791,cancel],[30.380249,s],[31.459900, ],[32.979675,a],[37.540954,cancel],[39.226501,r],[41.357452,cancel],[42.239563,e],[43.941315, ],[46.069519,cancel],[48.047760,e],[51.028168,del],[52.765625,cancel],[54.545532,cancel],[56.784149,s],[58.299347,e],[60.711181,n],[63.855499,t],[65.166656, ],[68.445709,cancel],[69.509918,cancel],[72.044037,m],[75.242493,o],[77.872467,n],[79.960663,cancel],[80.872223,t],[85.096252,h],[89.224945,l],[92.156921,y],[93.854950,done]"
2,4.356501961772811,0.15384615384615385,0.0,22,1,1,0,3,lydia wants to go home,lydia wants to go home,"[0.000031,l],[3.968506,y],[8.220154,d],[10.101898,i],[12.055969,a],[13.146667, ],[17.231812,w],[18.456177,a],[20.509491,n],[22.432861,cancel],[23.382355,t],[26.912842,s],[28.412750, ],[30.167236,t],[31.445770,t],[32.915161,cancel],[34.289001,del],[36.114105,o],[37.251495, ],[39.395416,cancel],[42.799103,g],[45.321503,o],[46.257935, ],[49.498413,h],[51.400665,o],[55.892120,m],[57.844574,e],[60.658539,done]"
2,3.7387732869336445,0.14705882352941177,0.0,29,2,2,0,3,wear a crown with many jewels,wear a crown with many jewels,"[0.000061,cancel],[4.293396,w],[6.557373,e],[8.144958,a],[12.386230,r],[13.684875, ],[14.815125,a],[15.713440, ],[19.445251,r],[21.678650,del],[25.054108,c],[27.365845,r],[30.239410,o],[34.736298,w],[38.462585,n],[39.669464, ],[43.705688,w],[46.063904,i],[47.571136,t],[51.263855,h],[52.604584, ],[55.973816,m],[57.437531,a],[59.903900,n],[62.361053,cancel],[64.404785,y],[65.863373, ],[70.395935,d],[71.923889,del],[74.359680,j],[76.593475,e],[78.142487,cancel],[81.839172,w],[84.521851,e],[87.480408,l],[89.869049,s],[92.382721,done]"
2,4.564620373704867,0.1,0.0,18,0,0,0,2,the living is easy,the living is easy,"[0.000061,t],[2.639404,cancel],[4.271667,cancel],[7.098328,h],[8.322937,e],[9.422729, ],[13.168365,l],[16.137421,i],[20.359619,v],[22.313171,i],[24.610138,n],[28.820862,g],[30.170013, ],[32.100800,i],[35.237000,s],[36.326355, ],[37.962219,e],[39.618408,a],[42.099335,s],[44.691559,y],[46.324280,done]"
